comision_codigo,comision_nombre,codigo_diputado,nombre_completo,cargo,bloque,distrito,fecha_inicio,fecha_fin,fecha_extraccion
cdhygarantias,DERECHOS HUMANOS Y GARANTIAS,"nzaracho
","Zaracho, Natalia",VOCAL,UNIÓN POR LA PATRIA,BUENOS AIRES,2025-06-04,2025-06-04,2025-06-04
cacym,"ASUNTOS COOPERATIVOS, MUTUALES Y ORGANISMOS NO GUBERNAMENTALES","etoniolli
","Toniolli, Eduardo",PRESIDENTE,UNIÓN POR LA PATRIA,SANTA FE,2025-06-04,2025-06-04,2025-06-04
cacym,"ASUNTOS COOPERATIVOS, MUTUALES Y ORGANISMOS NO GUBERNAMENTALES","jmarino
","Marino, Juan",VICEPRESIDENTE 1ª,UNIÓN POR LA PATRIA,BUENOS AIRES,2025-06-04,2025-06-04,2025-06-04
cacym,"ASUNTOS COOPERATIVOS, MUTUALES Y ORGANISMOS NO GUBERNAMENTALES","fcorreal
","Correa Llano, Facundo",VICEPRESIDENTE 2ª,LA LIBERTAD AVANZA,MENDOZA,2025-06-04,2025-06-04,2025-06-04
cacym,"ASUNTOS COOPERATIVOS, MUTUALES Y ORGANISMOS NO GUBERNAMENTALES","jaavila
","Avila, Jorge Antonio",SECRETARIO,ENCUENTRO FEDERAL,CHUBUT,2025-06-04,2025-06-04,2025-06-04
cacym,"ASUNTOS COOPERATIVOS, MUTUALES Y ORGANISMOS NO GUBERNAMENTALES","dvancsik
","Vancsik, Daniel",VOCAL,INNOVACIÓN FEDERAL,MISIONES,2025-06-04,2025-06-04,2025-06-04
cmercosur,MERCOSUR,"rdiezv
","Diez, Romina",VICEPRESIDENTE 1ª,LA LIBERTAD AVANZA,SANTA FE,2025-06-04,2025-06-04,2025-06-04
cmercosur,MERCOSUR,"jaromero
","Romero, Jorge Antonio",VICEPRESIDENTE 2ª,UNIÓN POR LA PATRIA,CORRIENTES,2025-06-04,2025-06-04,2025-06-04
cmercosur,MERCOSUR,"czulli
","Zulli, Christian Alejandro",SECRETARIO,UNIÓN POR LA PATRIA,CORRIENTES,2025-06-04,2025-06-04,2025-06-04
cmercosur,MERCOSUR,"lpokoikg
","Pokoik, Lorena",VOCAL,UNIÓN POR LA PATRIA,CIUDAD DE BUENOS AIRES,2025-06-04,2025-06-04,2025-06-04
cpymes,PEQUEÑAS Y MEDIANAS EMPRESAS,"mfein
","Fein, Mónica",PRESIDENTA,ENCUENTRO FEDERAL,SANTA FE,2025-06-04,2025-06-04,2025-06-04
cpymes,PEQUEÑAS Y MEDIANAS EMPRESAS,"eestrada
","Estrada, Emiliano",VICEPRESIDENTE 1ª,UNIÓN POR LA PATRIA,SALTA,2025-06-04,2025-06-04,2025-06-04
cpymes,PEQUEÑAS Y MEDIANAS EMPRESAS,"rbonacci
","Bonacci, Rocío",VICEPRESIDENTE 2ª,LA LIBERTAD AVANZA,SANTA FE,2025-06-04,2025-06-04,2025-06-04
cpymes,PEQUEÑAS Y MEDIANAS EMPRESAS,"scasas
","Casas, Sergio Guillermo",SECRETARIO,UNIÓN POR LA PATRIA,LA RIOJA,2025-06-04,2025-06-04,2025-06-04
cpymes,PEQUEÑAS Y MEDIANAS EMPRESAS,"etoniolli
","Toniolli, Eduardo",VOCAL,UNIÓN POR LA PATRIA,SANTA FE,2025-06-04,2025-06-04,2025-06-04
cdconsumidor,"DEFENSA DEL CONSUMIDOR, DEL USUARIO Y DE LA COMPETENCIA","iyutrovic
","Yutrovic, Carolina",PRESIDENTA,UNIÓN POR LA PATRIA,TIERRA DEL FUEGO,2025-06-04,2025-06-04,2025-06-04
cdconsumidor,"DEFENSA DEL CONSUMIDOR, DEL USUARIO Y DE LA COMPETENCIA","oagost
","Agost Carreño, Oscar",VICEPRESIDENTE 1ª,ENCUENTRO FEDERAL,CORDOBA,2025-06-04,2025-06-04,2025-06-04
cdconsumidor,"DEFENSA DEL CONSUMIDOR, DEL USUARIO Y DE LA COMPETENCIA","scasas
","Casas, Sergio Guillermo",SECRETARIO,UNIÓN POR LA PATRIA,LA RIOJA,2025-06-04,2025-06-04,2025-06-04
cdconsumidor,"DEFENSA DEL CONSUMIDOR, DEL USUARIO Y DE LA COMPETENCIA","lvolnovich
","Volnovich, Luana",VOCAL,UNIÓN POR LA PATRIA,BUENOS AIRES,2025-06-04,2025-06-04,2025-06-04
csinterior,SEGURIDAD INTERIOR,"jnunez
","Nuñez, José",PRESIDENTE,PRO,SANTA FE,2025-06-04,2025-06-04,2025-06-04
csinterior,SEGURIDAD INTERIOR,"jglinski
","Glinski, José",VICEPRESIDENTE 1ª,UNIÓN POR LA PATRIA,CHUBUT,2025-06-04,2025-06-04,2025-06-04
csinterior,SEGURIDAD INTERIOR,"crgutierrez
","Gutiérrez, Ramiro",SECRETARIO,UNIÓN POR LA PATRIA,BUENOS AIRES,2025-06-04,2025-06-04,2025-06-04
csinterior,SEGURIDAD INTERIOR,"hyasky
","Yasky, Hugo",VOCAL,UNIÓN POR LA PATRIA,BUENOS AIRES,2025-06-04,2025-06-04,2025-06-04
clexpresion,LIBERTAD DE EXPRESION,"morozco
","Orozco, Emilia",PRESIDENTA,LA LIBERTAD AVANZA,SALTA,2025-06-04,2025-06-04,2025-06-04
clexpresion,LIBERTAD DE EXPRESION,"chcastillo
","Castillo, Christian",VICEPRESIDENTE 1ª,PTS-FRENTE DE IZQUIERDA UNIDAD,BUENOS AIRES,2025-06-04,2025-06-04,2025-06-04
clexpresion,LIBERTAD DE EXPRESION,"agaillard
","Gaillard, Ana Carolina",VICEPRESIDENTE 2ª,UNIÓN POR LA PATRIA,ENTRE RIOS,2025-06-04,2025-06-04,2025-06-04
clexpresion,LIBERTAD DE EXPRESION,"mgparola
","Parola, María Graciela",SECRETARIO,UNIÓN POR LA PATRIA,FORMOSA,2025-06-04,2025-06-04,2025-06-04
clexpresion,LIBERTAD DE EXPRESION,"myeza
","Yeza, Martín",VOCAL,PRO,BUENOS AIRES,2025-06-04,2025-06-04,2025-06-04
cdiscap,DISCAPACIDAD,"darroyo
","Arroyo, Daniel",PRESIDENTE,UNIÓN POR LA PATRIA,BUENOS AIRES,2025-06-04,2025-06-04,2025-06-04
cdiscap,DISCAPACIDAD,"ndelcano
","Del Caño, Nicolás",VICEPRESIDENTE 1ª,PTS-FRENTE DE IZQUIERDA UNIDAD,BUENOS AIRES,2025-06-04,2025-06-04,2025-06-04
cdiscap,DISCAPACIDAD,"evaldes
","Valdés, Eduardo Félix",VICEPRESIDENTE 2ª,UNIÓN POR LA PATRIA,CIUDAD DE BUENOS AIRES,2025-06-04,2025-06-04,2025-06-04
cdiscap,DISCAPACIDAD,"ndelasota
","de la Sota, Natalia",SECRETARIO,ENCUENTRO FEDERAL,CORDOBA,2025-06-04,2025-06-04,2025-06-04
cdiscap,DISCAPACIDAD,"yvega
","Vega, Yolanda",VOCAL,INNOVACIÓN FEDERAL,SALTA,2025-06-04,2025-06-04,2025-06-04
cmujeresydiv,MUJERES Y DIVERSIDAD,"mmacha
","Macha, Mónica",PRESIDENTA,UNIÓN POR LA PATRIA,BUENOS AIRES,2025-06-04,2025-06-04,2025-06-04
cmujeresydiv,MUJERES Y DIVERSIDAD,"msotolano
","Sotolano, María",VICEPRESIDENTE 2ª,PRO,BUENOS AIRES,2025-06-04,2025-06-04,2025-06-04
cmujeresydiv,MUJERES Y DIVERSIDAD,"iyutrovic
","Yutrovic, Carolina",VOCAL,UNIÓN POR LA PATRIA,TIERRA DEL FUEGO,2025-06-04,2025-06-04,2025-06-04
